"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","16.16","954248000","n/a","China","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"JOBS","51job, Inc.","71.12","2090204922.96","n/a","China","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"ACTS","Actions Semiconductor Co., Ltd.","2.38","204680000","n/a","China","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ASX","Advanced Semiconductor Engineering, Inc.","4.68","7123075413.48","n/a","Taiwan","1996","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","11.79","2053759686.66","n/a","Japan","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ate",
"AMCN","AirMedia Group Inc","1.82","111122360.44","n/a","China","1995","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"ACH","Aluminum Corporation of China Limited","9.17","4960782152.55","n/a","China","1993","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/ach",
"ALN","American Lorain Corporation","0.75","25962535.5","n/a","China","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMCF","Andatee China Marine Fuel Services Corporation","1.73","17058075.07","n/a","China","2010","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/amcf",
"AERL","Asia Entertainment & Resources Ltd","3.83","229952142.92","n/a","Hong Kong","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/aerl",
"APWC","Asia Pacific Wire & Cable Corporation Limited","3.8","52549702.2","n/a","Taiwan","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/apwc",
"ASIA","AsiaInfo-Linkage, Inc.","11.64","848283251.52","n/a","China","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/asia",
"ATAI","ATA Inc.","4.95","112117500","n/a","China","2008","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atai",
"AUO","AU Optronics Corp","3.71","3274834066","n/a","Taiwan","2002","Technology","Semiconductors","http://www.nasdaq.com/symbol/auo",
"AMAP","AutoNavi Holdings Limited","15","1037174475","n/a","China","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amap",
"AVGO","Avago Technologies Limited","42.7","10567986498.3","n/a","Singapore","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/avgo",
"BIDU","Baidu, Inc.","153.84","53809307541.6","n/a","China","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/bidu",
"BSPM","Biostar Pharmaceuticals, Inc.","0.75","8697084.75","n/a","China","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bspm",
"BONA","Bona Film Group Limited","5.14","306463433.04","n/a","China","2010","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/bona",
"BNSO","Bonso Electronics International, Inc.","1.35","7529812.65","n/a","Hong Kong","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bnso",
"CSIQ","Canadian Solar Inc.","16.72","770819905.68","n/a","China","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/csiq",
"CAJ","Canon, Inc.","31.96","36843303654.72","n/a","Japan","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/caj",
"CYOU","Changyou.com Limited","34.76","1838528839.84","n/a","China","2009","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyou",
"CHRM","Charm Communications Inc.","4.01","153722491.86","n/a","China","2010","Technology","Advertising","http://www.nasdaq.com/symbol/chrm",
"CADC","China Advanced Construction Materials Group, Inc.","4.13","6139744.73","n/a","China","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cadc",
"CALI","China Auto Logistics Inc.","2.27","8386274.38","n/a","China","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/cali",
"CAAS","China Automotive Systems, Inc.","7.63","213968234.97","n/a","China","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/caas",
"CBAK","China BAK Battery, Inc.","2.28","28772681.16","n/a","China","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cbak",
"CBPO","China Biologic Products, Inc.","28.06","756299636.7","n/a","China","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","3.16","64561448.08","n/a","China","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cccl",
"CCCR","China Commercial Credit, Inc.","9.46","98100200","n/a","China","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cccr",
"CO","China Cord Blood Corporation","4.16","303693511.68","n/a","Hong Kong","1993","Finance","Business Services","http://www.nasdaq.com/symbol/co",
"CEA","China Eastern Airlines Corporation Ltd.","16.49","4179973866.73","n/a","China","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cea",
"JRJC","China Finance Online Co. Limited","1.84","40831579.84","n/a","China","2004","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/jrjc",
"CHGS","China GengSheng Minerals, Inc.","0.16","4288487.04","n/a","China","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/chgs",
"CHOP","China Gerui Advanced Materials Group Limited","1.55","92260510.5","n/a","China","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/chop",
"CGA","China Green Agriculture, Inc.","4.28","128157045.8","n/a","China","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/cga",
"HGSH","China HGS Real Estate, Inc.","7.65","344632500","n/a","China","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/hgsh",
"CHLN","China Housing & Land Development, Inc.","2.31","81050043.69","n/a","China","1984","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/chln",
"CNIT","China Information Technology, Inc.","6.81","183921810.48","n/a","China","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnit",
"CJJD","China Jo-Jo Drugstores, Inc.","0.6","8142931.8","n/a","China","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/cjjd",
"LFC","China Life Insurance Company Limited","39.41","74260801577.06","n/a","China","2003","Finance","Life Insurance","http://www.nasdaq.com/symbol/lfc",
"HTHT","China Lodging Group, Limited","18.98","1160124466.54","n/a","China","2010","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/htht",
"CMFO","China Marine Food Group Limited","0.39","11591960.64","n/a","China","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/cmfo",
"CNR","China Metro-Rural Holdings Limited","1.02","75014657.64","n/a","Hong Kong","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cnr",
"CHL","China Mobile (Hong Kong) Ltd.","56.79","228306786593.4","n/a","Hong Kong","1997","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/chl",
"CHNR","China Natural Resources, Inc.","4.5","112099122","n/a","Hong Kong","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/chnr",
"SNP","China Petroleum & Chemical Corporation","79.29","92424608846.91","n/a","China","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/snp",
"CPHI","China Pharma Holdings, Inc.","0.2889","12590134.0173","n/a","China","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphi",
"CPSL","China Precision Steel, Inc.","1.29","5006317.14","n/a","Hong Kong","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/cpsl",
"CREG","China Recycling Energy Corporation","2.44","122547414","n/a","China","1996","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
"CPGI","China Shengda Packaging Group, Inc.","1.0815","41952262.0965","n/a","China","2010","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cpgi",
"ZNH","China Southern Airlines Company Limited","18.21","3530433521.4","n/a","China","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/znh",
"CSUN","China Sunergy Co., Ltd.","4.21","62515515.11","n/a","China","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/csun",
"CNTF","China TechFaith Wireless Communication Technology Limited","1.41","74636299.86","n/a","China","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cntf",
"CHU","China Unicom (Hong Kong) Ltd","15.44","36380001210.8","n/a","Hong Kong","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/chu",
"CXDC","China XD Plastics Company Limited","4.47","213615810.84","n/a","China","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cxdc",
"CNYD","China Yida Holding, Co.","5.25","20551545","n/a","China","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/cnyd",
"CYD","China Yuchai International Limited","23.97","893306121.81","n/a","Singapore","1994","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cyd",
"CCIH","ChinaCache International Holdings Ltd.","5.99","151937649.83","n/a","China","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/ccih",
"CEDU","ChinaEdu Corporation","6.99","124487747.94","n/a","China","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cedu",
"CNET","ChinaNet Online Holdings, Inc.","0.5901","13115881.254","n/a","China","1996","Technology","Advertising","http://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES (Bermuda) LTD.","18.03","606795088.41","n/a","Taiwan","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/imos",
"CHT","Chunghwa Telecom Co., Ltd.","31.51","24443715497","n/a","Taiwan","1989","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cht",
"CISAA","CIS Acquisition Ltd.","10.1201","0","n/a","Russia","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cisaa",
"CISAU","CIS Acquisition Ltd.","10.35","54089100","n/a","Russia","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cisau",
"CISAW","CIS Acquisition Ltd.","0.3501","0","n/a","Russia","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cisaw",
"CLNT","Cleantech Solutions International, Inc.","5.54","19409401.08","n/a","China","1994","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clnt",
"CISG","CNinsure Inc.","5.25","262201149","n/a","China","2007","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/cisg",
"CEO","CNOOC Limited","203.97","1668998190.99","n/a","Hong Kong","2001","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ceo",
"COGO","Cogo Group, Inc.","2.22","65530754.76","n/a","China","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cogo",
"CCSC","Country Style Cooking Restaurant Chain Co., Ltd.","9.74","255019410.34","n/a","China","2010","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/ccsc",
"CTCM","CTC Media, Inc.","10.77","1682536001.79","n/a","Russia","2006","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ctcm",
"CTRP","Ctrip.com International, Ltd.","56.92","7366503069.12","n/a","China","2003","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ctrp",
"DHRM","Dehaier Medical Systems Limited","2.02","9332400","n/a","China","2010","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dhrm",
"RDY","Dr. Reddy&#39;s Laboratories Ltd","38.02","6466005092.38","n/a","India","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rdy",
"DANG","E-Commerce China Dangdang Inc.","10.93","877296056.52","n/a","China","2010","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/dang",
"EFUT","eFuture Information Technology Inc.","3.62","14397540.02","n/a","China","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/efut",
"LONG","eLong, Inc.","17.59","606196219.32","n/a","China","1987","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/long",
"EGT","Entertainment Gaming Asia Incorporated","1.25","37530827.5","n/a","Hong Kong","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/egt",
"CLWT","Euro Tech Holdings Company Limited","3.25","6724974.75","n/a","Hong Kong","1997","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/clwt",
"EVK","Ever-Glory International Group, Inc.","3.435","50761090.35","n/a","China","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/evk",
"EDS","Exceed Company Ltd.","1.5","49550248.5","n/a","Hong Kong","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/eds",
"FLEX","Flextronics International Ltd.","9.14","5594885602.56","n/a","Singapore","1994","Technology","Electrical Products","http://www.nasdaq.com/symbol/flex",
"FFHL","Fuwei Films (Holdings) Co., Ltd.","1.28","16720000","n/a","China","2006","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/ffhl",
"GSI","General Steel Holdings, Inc.","0.875","48243634.25","n/a","China","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/gsi",
"GIGM","GigaMedia Limited","0.953","48336137.128","n/a","Taiwan","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/gigm",
"GAI","Global-Tech Advanced Innovations Inc.","6.49","19737563.23","n/a","Hong Kong","1971","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/gai",
"GRVY","GRAVITY Co., Ltd.","1.14","31686984","n/a","South Korea","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grvy",
"GSH","Guangshen Railway Company Limited","26.17","3707523265.8","n/a","China","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gsh",
"GPRC","Guanwei Recycling Corp.","1.8","18734110.2","n/a","China","n/a","Basic Industries","Containers/Packaging","http://www.nasdaq.com/symbol/gprc",
"GURE","Gulf Resources, Inc.","1.7","65226458.5","n/a","China","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gure",
"HSOL","Hanwha SolarOne Co., Ltd.","4.18","387509537.58","n/a","China","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/hsol",
"HDB","HDFC Bank Limited","31.35","24962261783.25","n/a","India","2001","Finance","Commercial Banks","http://www.nasdaq.com/symbol/hdb",
"HIHO","Highway Holdings Limited","2.12","8021812.88","n/a","Hong Kong","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hiho",
"HIMX","Himax Technologies, Inc.","9.72","1648266608.88","n/a","Taiwan","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/himx",
"HOLI","Hollysys Automation Technologies, Ltd.","14.81","829343960.77","n/a","China","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/holi",
"HMIN","Home Inns & Hotels Management Inc.","33.92","1563156763.52","n/a","China","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/hmin",
"HMC","Honda Motor Company, Ltd.","38.72","69784893337.28","n/a","Japan","1976","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/hmc",
"HKTV","Hong Kong Television Network Limited","6.21","251199666.72","n/a","Hong Kong","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/hktv",
"HNP","Huaneng Power International, Inc.","40.12","14097549590.32","n/a","China","1994","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/hnp",
"IBN","ICICI Bank Limited","31.08","17934010597.44","n/a","India","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ibn",
"INFY","Infosys Limited","48.62","27781592758.92","n/a","India","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/infy",
"IIJI","Internet Initiative Japan, Inc.","14.57","1203417892","n/a","Japan","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/iiji",
"JASO","JA Solar Holdings, Co., Ltd.","9.88","394930483.48","n/a","China","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/jaso",
"DATE","Jiayuan.com International Ltd.","6.93","222364961.28","n/a","China","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/date",
"JST","Jinpan International Limited","7.28","119504519.68","n/a","China","1998","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/jst",
"KNDI","Kandi Technologies Group, Inc.","8.04","297306947.04","n/a","China","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/kndi",
"KB","KB Financial Group Inc","35.44","13692303999.92","n/a","South Korea","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/kb",
"KGJI","Kingold Jewelry Inc.","1.66","106728398.56","n/a","China","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/kgji",
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","2.98","4186900","n/a","China","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/kone",
"KNM","Konami Corporation","23.3","3229749141.9","n/a","Japan","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/knm",
"KONG","KongZhong Corporation","12.15","509722158.15","n/a","China","2004","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/kong",
"KEP","Korea Electric Power Corporation","13.9","17320347479.6","n/a","South Korea","1994","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/kep",
"KT","KT Corporation","16.7","8721134387.2","n/a","South Korea","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/kt",
"KUTV","Ku6 Media Co., Ltd.","1.719","81251084.277","n/a","China","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/kutv",
"KLIC","Kulicke and Soffa Industries, Inc.","11.54","868702788.52","n/a","Singapore","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/klic",
"KYO","Kyocera Corporation","108.39","19882855008.66","n/a","Japan","1976","Technology","Semiconductors","http://www.nasdaq.com/symbol/kyo",
"LDK","LDK Solar Co., Ltd.","1.49","236651182.53","n/a","China","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/ldk",
"GAGA","Le Gaga Holdings Limited","3.59","163806695.54","n/a","Hong Kong","2010","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/gaga",
"LPL","LG Display Co., Ltd.","12.28","8787953592","n/a","South Korea","2004","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lpl",
"LIWA","Lihua International, Inc.","4.96","147963426.56","n/a","China","2009","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/liwa",
"LTON","Linktone Ltd.","3.55","144511167.05","n/a","China","2004","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/lton",
"MMYT","MakeMyTrip Limited","15.25","573432909.5","n/a","India","2010","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/mmyt",
"MTL","Mechel OAO","3.28","1365368043.6","n/a","Russia","2004","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mtl",
"MTL^","Mechel OAO","0.7679","0","n/a","Russia","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtl^",
"MCOX","Mecox Lane Limited","3.97","234533903.5","n/a","China","2010","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/mcox",
"MPEL","Melco Crown Entertainment Limited","31.6","17375548128.8","n/a","Hong Kong","2006","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/mpel",
"MTU","Mitsubishi UFJ Financial Group Inc","6.52","92238566390.2","n/a","Japan","1992","Finance","Commercial Banks","http://www.nasdaq.com/symbol/mtu",
"MBT","Mobile TeleSystems OJSC","22.27","22146615024.76","n/a","Russia","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/mbt",
"MONT","Montage Technology Group Limited","15.15","0","n/a","China","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mont",
"NTE","Nam Tai Electronics, Inc.","7.78","348573058.3","n/a","China","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/nte",
"NTES","NetEase, Inc.","71.69","9308349107.23","n/a","China","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ntes",
"NFEC","NF Energy Saving Corporation","1.88","10263196.36","n/a","China","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/nfec",
"NJ","Nidec Corporation (Nihon Densan Kabushiki Kaisha)","21.07","11308741220.84","n/a","Japan","n/a","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/nj",
"NINE","Ninetowns Internet Technology Group Company Limited","1.81","70213219.54","n/a","China","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/nine",
